name,Total,Reserved
Acaciaforests,118118,0
Acaciashrublands,192323,22212
Eucshrublands,276536,20156
Eucalyptuswoodlands,107542,15130
Freshwater,301455,98933
Grasslands,468738,311037
Lowforest,434249,207937
MalleeShrublands,257929,157730
Mulgawoodlands,238285,29049
Openshrublands,110332,30940
Saltbush,203099,93782
Saltlagoon,108384,51629
Sedgelands,106358,50237
TropicalRainforest,117878,22609
Tussockgrasslands,475741,70445
Azurekingfsh,5360340,1556160
Blindvelvetworm,38223,7979
Bartailedgodwit,5992,540
Claspleathheath,714455,69399
Fairywren,812126,121342
Hoarysunray,442251,39767
MaskedOwl,3384310,389357
OrangeParrot,469799,200620
SeaEagle,5609400,1169830
SwiftParrot,1096470,156294
